id,name,state
1,Port Blair,30
2,Chirala,1
3,Guntur,1
4,Hindupur,1
5,Kagaznagar,1
6,Kakinada,1
7,Kurnool,1
8,Machilipatnam,1
9,Nandyal,1
10,Nellore,1
11,Ongole,1
12,Proddatur,1
13,Rajahmundry,1
14,Tirupati,1
15,Vishakhapatnam,1
16,Vizianagaram,1
17,Itanagar,2
18,Dibrugarh,3
19,Dispur,3
20,Guwahati,3
21,Jorhat,3
22,Silchar,3
23,Tezpur,3
24,Aurangabad,4
25,Bhagalpur,4
26,Gaya,4
27,Muzaffarpur,4
28,Patna,4
29,Purnea,4
30,Chandigarh ,5
31,Bhilai,5
32,Bilaspur,5
33,Raipur,5
34,Silvassa,32
35,Daman,33
36,Diu,33
37,Delhi,34
38,New Delhi,34
39,Panaji,6
40,Ahmedabad,7
41,Bhavnagar,7
42,Bhuj,7
43,Ghandinagar,7
44,Navsari,7
45,Porbandar,7
46,Rajkot,7
47,Surat,7
48,Vadodara,7
49,Ambala,8
50,Bhiwani,8
51,Faridabad,8
52,Gurugram,8
53,Hisar,8
54,Karnal,8
55,Panchkula,8
56,Panipat,8
57,Rohtak,8
58,Sirsa,8
59,Sonipat,8
60,Shimla,9
61,Baramula,10
62,Jammu,10
63,Saidpur,10
64,Srinagar,10
65,Dhanbad,11
66,Jamshedpur,11
67,Ranchi,11
68,Jorapokhar,11
69,Belgaum,12
70,Bellary,12
71,Bengaluru,12
72,Bidar,12
73,Bijapur,12
74,Chikka Mandya,12
75,Davangere,12
76,Gulbarga,12
77,Hospet,12
78,Hubli,12
79,Kolar,12
80,Mangalore,12
81,Mysore,12
82,Raichur,12
83,Shimoga,12
84,Alappuzha,13
85,Calicut,13
86,Kochi,13
87,Kollam,13
88,Thiruvananthapuram,13
89,Kavaratti,35
90,Bhopal ,14
91,Gwalior,14
92,Indore,14
93,Jabalpur,14
94,Ratlam,14
95,Saugor,14
96,Ujjain,14
97,Ahmadnagar,15
98,Akola,15
99,Amaravati,15
100,Aurangabad,15
101,Bhiwandi,15
102,Bhusaval,15
103,Chanda,15
104,Kalyan,15
105,Khanapur,15
106,Kolhapur,15
107,Latur,15
108,Malegaon Camp,15
109,Mumbai,15
110,Nanded,15
111,Nasik,15
112,Parbhani,15
113,Pune,15
114,Sangli,15
115,Imphal,16
116,Shillong ,17
117,Aizawl  ,18
118,Kohima,19
119,Bhubaneshwar,20
120,Brahmapur,20
121,Cuttack,20
122,Puri,20
123,Raurkela,20
124,Samlaipadar,20
125,Brajrajnagar,20
126,Talcher,20
127,Puducherry,36
128,Abohar,21
129,Amritsar,21
130,Haripur,21
131,Ludhiana,21
132,Pathankot,21
133,Patiala,21
134,Ajmer,22
135,Alwar,22
136,Bharatpur,22
137,Bhilwara,22
138,Bikaner,22
139,Jaipur,22
140,Jodhpur,22
141,Kota,22
142,Pali,22
143,Rampura,22
144,Sikar,22
145,Tonk,22
146,Udaipur,22
147,Gangtok,23
148,Chennai,24
149,Coimbatore,24
150,Cuddalore,24
151,Dindigul,24
152,Karur,24
153,Krishnapuram,24
154,Kumbakonam,24
155,Madurai,24
156,Nagercoil,24
157,Rajapalaiyam,24
158,Salem,24
159,Thanjavur,24
160,Tiruchchirappalli,24
161,Tirunelveli,24
162,Tiruvannamalai,24
163,Tuticorin,24
164,Valparai,24
165,Vellore,24
166,Adilabad,25
167,Hyderabad,25
168,Karimnagar,25
169,Khammam,25
170,Mahabubnagar,25
171,Nalgonda,25
172,Nizamabad,25
173,Ramagundam,25
174,Warangal,25
175,Agartala,26
176,Agra,28
177,Aligarh,28
178,Allahabad,28
179,Bakshpur,28
180,Bamanpuri,28
181,Bareilly,28
182,Bharauri,28
183,Budaun,28
184,Bulandshahr,28
185,Firozabad,28
186,Fyzabad,28
187,Ghaziabad,28
188,Gopalpur,28
189,Hapur,28
190,Hata,28
191,Jhansi,28
192,Lucknow,28
193,Mathura,28
194,Meerut,28
195,Mirzapur,28
196,Moradabad,28
197,Muzaffarnagar,28
198,Pilibhit,28
199,Saharanpur,28
200,Saidapur,28
201,Shahbazpur,28
202,Tharati Etawah,28
203,Varanasi,28
204,DehraDun,27
205,Alipurduar,29
206,Asansol,29
207,Barddhaman,29
208,Bhatpara,29
209,Haldia,29
210,Haora,29
211,Kolkata ,29
212,Krishnanagar,29
213,Shiliguri,29
